REF_AREA,REF_AREA_LABEL,TIME_PERIOD,time_date,STRATUM,STRATUM_LABEL,WB_BPS_ARREARS,WB_BPS_CHANGE_SALES,WB_BPS_DROPSALES,WB_BPS_EXPECTATIONS_SALES,WB_BPS_PLANTS_ABSENCE,WB_BPS_PLANTS_FIRED,WB_BPS_PLANTS_HOURS_CUT,WB_BPS_PLANTS_WAGES_CUT,WB_BPS_REMOTE_WORKERS,WB_BPS_USE_DIGITAL,WB_BPS_ACCESS,WB_BPS_ONLINE_SALES,WB_BPS_RCV_POLICY,WB_BPS_ORDERS_CANCEL,WB_BPS_STOP_SELL,WB_BPS_PROTOCOL_1,WB_BPS_PROTOCOL_2,WB_BPS_PROTOCOL_3,WB_BPS_PROTOCOL_4,WB_BPS_PROTOCOL_5,protocols_mean,ACI,change_sales_stress,CSI,ACI_l1,support_l1
XKX,Kosovo,2021-07,2021-07-01,WB_BPS_SECTOR_OS,Sector: Other Services,23.64,-5.7,32.74,14.33,,4.06,,,0.66,49.11,89.83,,20.7575,14.14,48.53,,,,,,,-0.359415843014332,5.7,-0.957550292772943,-0.843998787625998,66.94
XKX,Kosovo,2020-07,2020-07-01,WB_BPS_SECTOR_RET,Sector: Retail,49.18,-55.05,89.6,-11.16,42.64,3.15,15.58,9.64,1.35,29.05,63.62,5.56,13.846,,,,,,,,,-0.810901348728189,55.05,0.146847323495066,,
XKX,Kosovo,2021-07,2021-07-01,WB_BPS_SECTOR_RET,Sector: Retail,24.35,-3.3,20.83,12.18,,5.12,,,0.11,62.01,85.84,,20.4675,7.19,21.79,,,,,,,-0.0936390338683165,3.3,-1.44768625749599,-0.810901348728189,63.62
ZAF,South Africa,2020-05,2020-05-01,WB_BPS_SECTOR_MGF,Sector: Manufacturing,24.08,-40.83,79.7,-22.35,25.65,21.41,62.6,59.27,11.94,32.54,16.75,14.16,3.666,,,,,,,,,-0.147262661211318,40.83,0.658480489913944,,
ZAF,South Africa,2020-11,2020-11-01,WB_BPS_SECTOR_MGF,Sector: Manufacturing,66.45,-41.74,74.71,-9.6,27.27,29.94,52.74,45.37,11.82,88.33,33.12,20.92,6.292,,,99.82,33.38,79.18,44.91,23.62,56.182,0.864113388669561,41.74,0.851192204766764,-0.147262661211318,16.75
ZAF,South Africa,2021-08,2021-08-01,WB_BPS_SECTOR_MGF,Sector: Manufacturing,63.89,-43.52,83.79,16.06,50.18,32.3,59.18,50.94,6.71,,34.89,,2.7225,50.87,47.19,,,,,,,,43.52,1.15417506258691,0.864113388669561,33.12
ZAF,South Africa,2020-05,2020-05-01,WB_BPS_SECTOR_OS,Sector: Other Services,57.88,-65.09,87.02,-29.78,57.68,35.92,56.7,60.11,20.42,44.89,19.14,29.06,4.012,,,,,,,,,0.707313540726296,65.09,1.53823352875245,,
ZAF,South Africa,2020-11,2020-11-01,WB_BPS_SECTOR_OS,Sector: Other Services,66.16,-50.99,85.93,-15.89,29.59,32.96,47.61,47.03,12.37,86.45,33.17,25.71,6.566,,,88.88,38.81,71.76,53.43,31.53,56.882,0.950767927478144,50.99,1.03940153614018,0.707313540726296,19.14
ZAF,South Africa,2021-08,2021-08-01,WB_BPS_SECTOR_OS,Sector: Other Services,64.61,-41.29,78.16,14.77,49.14,29.13,46.51,45.45,18.7,,29.68,,4.3925,58.94,56.32,,,,,,,,41.29,1.08802698293324,0.950767927478144,33.17
ZAF,South Africa,2020-05,2020-05-01,WB_BPS_SECTOR_RET,Sector: Retail,33.03,-52.07,84.97,-27.76,39.97,34.86,61.85,63.11,21.73,55.63,13.62,21.66,3.094,,,,,,,,,0.762884885222217,52.07,1.15536007297685,,
ZAF,South Africa,2020-11,2020-11-01,WB_BPS_SECTOR_RET,Sector: Retail,56.8,-34.79,80.54,,8.02,15.01,29.18,38.71,,96.79,39.02,,8.294,,,88.92,25.4,71.43,43.75,25.56,51.012,1.45439581293244,34.79,0.212440672579119,0.762884885222217,13.62
ZAF,South Africa,2021-08,2021-08-01,WB_BPS_SECTOR_RET,Sector: Retail,67.63,-33.91,72.53,12.36,40.15,22.46,30.18,36.61,7.48,,30.9,,4.715,64.33,,,,,,,,,33.91,0.733362905432724,1.45439581293244,39.02
