REF_AREA,REF_AREA_LABEL,TIME_PERIOD,time_date,STRATUM,STRATUM_LABEL,WB_BPS_ACCESS,WB_BPS_ARREARS,WB_BPS_CHANGE_SALES,WB_BPS_DROPSALES,WB_BPS_EXPECTATIONS_SALES,WB_BPS_PLANTS_ABSENCE,WB_BPS_PLANTS_FIRED,WB_BPS_PLANTS_HOURS_CUT,WB_BPS_PLANTS_WAGES_CUT,WB_BPS_RCV_POLICY,WB_BPS_REMOTE_WORKERS,WB_BPS_USE_DIGITAL,WB_BPS_ONLINE_SALES,WB_BPS_ORDERS_CANCEL,WB_BPS_STOP_SELL,WB_BPS_PROTOCOL_1,WB_BPS_PROTOCOL_2,WB_BPS_PROTOCOL_3,WB_BPS_PROTOCOL_4,WB_BPS_PROTOCOL_5,protocols_mean,ACI,change_sales_stress,CSI,ACI_l1,support_l1
IND,India,2020-06,2020-06-01,WB_BPS_SIZE_M,Size: Medium (20-99),41.92,55.83,-55.17,87.1,-21.71,56.18,20.85,34.63,41.7,,25.07,,23.24,,,,,,,,,1.08881308215595,55.17,0.825133782559692,1.08881308215595,
IND,India,2021-07,2021-07-01,WB_BPS_SIZE_M,Size: Medium (20-99),41.92,52.51,-14.44,52.75,0.63,,51.09,,,9.33,11.27,72.68,22.37,34.03,62.07,,,,,,,0.50678322776864,14.44,0.425577965209358,1.08881308215595,
IND,India,2020-06,2020-06-01,WB_BPS_SIZE_MI,Size: Micro (0-4),50.28,47.06,,,,11.76,14.71,14.71,29.41,,,,,,,,,,,,,,,-0.197702806820587,,
IND,India,2021-07,2021-07-01,WB_BPS_SIZE_MI,Size: Micro (0-4),50.28,49.91,-23.85,51.79,-8.11,,16.7,,,10.8925,,,,41.26,,,,,,,,,23.85,-0.126895599042271,,
IND,India,2020-06,2020-06-01,WB_BPS_SIZE_S,Size: Small (5-19),35.11,60.34,-57.47,84.57,-21.38,60.34,15.64,50.84,43.58,,32.41,,32.22,,,,,,,,,1.88674049666592,57.47,0.969698590165909,1.88674049666592,
IND,India,2021-07,2021-07-01,WB_BPS_SIZE_S,Size: Small (5-19),35.11,48.43,-16.46,56.86,-3.04,,48.56,,,8.23,10.59,53.48,22.3,34.23,59.08,,,,,,,0.162973979474024,16.46,0.385586765742469,1.88674049666592,
KEN,Kenya,2020-07,2020-07-01,WB_BPS_SIZE_L,Size: Large (100+),28.2,60.28,-38.32,80.96,-17.52,13.62,32.35,4.84,3.17,8.472,16.64,64.32,12.45,,,,,,,,,0.332013237571084,38.32,-0.0614838324885147,0.332013237571084,28.2
KEN,Kenya,2020-09,2020-09-01,WB_BPS_SIZE_L,Size: Large (100+),59.7,30.99,-16.12,48.02,1.92,11.94,13.11,6.66,2.17,2.975,4.82,95.14,22.07,,,82.68,53.9,65.46,47.15,50.92,60.022,0.679386471499391,16.12,-0.893701455421093,0.332013237571084,28.2
KEN,Kenya,2021-04,2021-04-01,WB_BPS_SIZE_L,Size: Large (100+),84.81,35.66,-25.09,80.15,12.54,34.29,14.74,25.25,28.32,17.9625,11.96,92.3,30.44,30.27,48.02,,,,,,,1.06508827071134,25.09,0.0775952976400417,0.679386471499391,59.7
KEN,Kenya,2020-07,2020-07-01,WB_BPS_SIZE_M,Size: Medium (20-99),33.24,72.51,-53.2,92.96,-23.46,18.29,35.18,12.45,12.41,8.474,13.17,52.34,12.67,,,,,,,,,0.000104123644408316,53.2,0.430233996773889,0.000104123644408316,33.24
